"sigla","fonte","camada","id_na_fonte","nome_na_fonte","status","professor","observacao"
"","Tec","plataforma","41","Legislação Aduaneira","fora_escopo","",""
"","Tec","plataforma","5","Legislação Civil e Processual Civil Especial","fora_escopo","",""
"","Tec","plataforma","119","Legislação das Casas Legislativas","fora_escopo","",""
"","Tec","plataforma","104","Legislação de Trânsito e Transportes","fora_escopo","",""
"","Tec","plataforma","187","Legislação e Ética Profissional","fora_escopo","",""
"","Tec","plataforma","180","Legislação Específica das Agências Reguladoras","fora_escopo","",""
"","Tec","plataforma","182","Legislação Específica das Defensorias Públicas","fora_escopo","",""
"","Tec","plataforma","197","Legislação Específica das Procuradorias (Advocacias Públicas)","fora_escopo","",""
"","Tec","plataforma","169","Legislação Específica dos Ministérios Públicos","fora_escopo","",""
"","Tec","plataforma","190","Legislação Específica dos Tribunais Estaduais","fora_escopo","",""
"","Tec","plataforma","114","Legislação Específica dos Tribunais Federais","fora_escopo","",""
"","Tec","plataforma","164","Legislação Geral Estadual e do DF","local","",""
"","Tec","plataforma","177","Legislação Geral Federal","fora_escopo","",""
"","Tec","plataforma","163","Legislação Geral Municipal","local","",""
"","Tec","plataforma","209","Legislação Militar","fora_escopo","",""
"","Tec","plataforma","172","Legislação Penal e Processual Penal Especial","fora_escopo","",""
"","Tec","plataforma","57","Legislação Tributária dos Estados e do Distrito Federal","local","",""
"","Tec","plataforma","117","Legislação Tributária dos Municípios","local","",""
"","Tec","plataforma","210","Legislação Tributária Federal","olho","",""
"","Tec","plataforma","200","Libras e Inclusão","fora_escopo","",""
"","Tec","plataforma","36","Língua Espanhola (Espanhol)","fora_escopo","",""
"","Tec","plataforma","59","Língua Francesa (Francês)","fora_escopo","",""
"","Tec","plataforma","25","Língua Inglesa (Inglês)","fora_escopo","",""
"PORT","Tec","plataforma","3","Língua Portuguesa (Português)","ok","",""
"","Tec","plataforma","113","Línguas Estrangeiras Diversas","fora_escopo","",""
"","Tec","plataforma","101","Literatura Brasileira e Estrangeira","fora_escopo","",""
"","Tec","plataforma","62","Matemática","olho","",""
"MATFIN","Tec","plataforma","20","Matemática Financeira","ok","",""
"","Tec","plataforma","51","Medicina","fora_escopo","",""
"","Tec","plataforma","185","Meteorologia e Astronomia","fora_escopo","",""
"","Tec","plataforma","218","Museologia","fora_escopo","",""
"","Tec","plataforma","131","Nutrição, Gastronomia e Engenharia de Alimentos","fora_escopo","",""
"","Tec","plataforma","203","Oceanografia","fora_escopo","",""
"","Tec","plataforma","48","Odontologia","fora_escopo","",""
"","Tec","plataforma","74","Organização de Eventos","fora_escopo","",""
"","Tec","plataforma","79","Pedagogia","fora_escopo","",""
"","Tec","plataforma","108","Psicologia","fora_escopo","",""
"","Tec","plataforma","125","Química e Engenharia Química","fora_escopo","",""
"RACLOG","Tec","plataforma","217","Raciocínio Lógico","ok","",""
"","Tec","plataforma","211","Radiologia","fora_escopo","",""
"","Tec","plataforma","26","Redação Oficial","olho","",""
"","Tec","plataforma","76","Relações Internacionais e Comércio Internacional","fora_escopo","",""
"","Tec","plataforma","13","Secretariado e Taquigrafia","fora_escopo","",""
"","Tec","plataforma","78","Segurança e Proteção Contra Incêndios","fora_escopo","",""
"","Tec","plataforma","65","Segurança e Saúde no Trabalho (SST)","fora_escopo","",""
"","Tec","plataforma","105","Segurança Privada e Transportes","fora_escopo","",""
"","Tec","plataforma","223","Segurança Pública e Legislação Policial","fora_escopo","",""
"","Tec","plataforma","199","Serviços Gerais","fora_escopo","",""
"","Tec","plataforma","47","Serviço Social","fora_escopo","",""
"","Tec","plataforma","85","Teoria Geral, Filosofia e Sociologia Jurídica","fora_escopo","",""
"","Tec","plataforma","124","Terapia Ocupacional","fora_escopo","",""
"TECINF","Tec","plataforma","141","TI - Banco de Dados","ok","","o Tec fatia TI em 9 materias; todas caem em TECINF"
"TECINF","Tec","plataforma","227","TI - Ciência de Dados e Inteligência Artificial","ok","",""
"TECINF","Tec","plataforma","139","TI - Desenvolvimento de Sistemas","ok","",""
"TECINF","Tec","plataforma","138","TI - Engenharia de Software","ok","",""
"TECINF","Tec","plataforma","136","TI - Gestão e Governança de TI","ok","",""
"TECINF","Tec","plataforma","142","TI - Organização e Arquitetura dos Computadores","ok","",""
"TECINF","Tec","plataforma","133","TI - Redes de Computadores","ok","",""
"TECINF","Tec","plataforma","134","TI - Segurança da Informação","ok","",""
"TECINF","Tec","plataforma","140","TI - Sistemas Operacionais","ok","",""
"","Tec","plataforma","212","Turismo","fora_escopo","",""
"","Tec","plataforma","130","Veterinária e Zootecnia","fora_escopo","",""
"ADMPUB","Tutory","plataforma","","ADMINISTRAÇÃO E GOVERNANÇA PÚBLICA","ok","",""
"ADMPUB","Tutory","plataforma","","ADMINISTRAÇÃO E GOVERNANÇA PÚBLICA - REVISÃO TEÓRICA","ok","",""
"AFO","Tutory","plataforma","","ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA","ok","",""
"AFO","Tutory","plataforma","","Administração Financeira e Orçamentária - Área Fiscal","ok","",""
"AFO","Tutory","plataforma","","ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA - REVISÃO TEÓRICA","ok","",""
"AFO","Tutory","plataforma","","Administração Financeira e Orçamentária (Fiscal/ Controle)","ok","",""
"","Tutory","plataforma","","Administração Geral","olho","",""
"","Tutory","plataforma","","Administração Geral (Fiscal/ Controle)","olho","",""
"ADMPUB","Tutory","plataforma","","ADMINISTRAÇÃO PÚBLICA","ok","",""
"ADMPUB","Tutory","plataforma","","ADMINISTRAÇÃO PÚBLICA - REVISÃO TEÓRICA","ok","",""
"ADMPUB","Tutory","plataforma","","Administração Pública (Fiscal/ Controle)","ok","",""
"AFO","Tutory","plataforma","","AFO","ok","",""
"","Tutory","plataforma","","Análise das Demonstrações Contábeis (Fiscal/ Controle)","olho","",""
"TECINF","Tutory","plataforma","","ANÁLISE DE DADOS","ok","",""
