"materia_id","materia_nome","sigla","assunto_id","hierarquia","nivel","nome"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17593","07.09.03","3","Do Diferimento e da Suspensão (arts. 17 a 23 da Lei Estadual nº 18.665/2023)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11731","16.02.01.10","4","Do Documentário e Da Escritura Fiscal (art. 71 da Lei nº 6.379/1996)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11825","05.06.15","3","Do Documentário Fiscal (arts. 202 a 310 do RICMS-AM)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17966","15.45.02.07","4","Do Documento de Arrecadação (arts. 511 a 512-A do RICMS-PA)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17967","15.45.02.08","4","Do Documento de Informações (arts. 513 a 514-A do RICMS-PA)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11987","09.03.01.16","4","Do Documento Fiscal e Outras Obrigações do Contribuinte (arts. 61 da Lei Estadual nº 7.000/2001)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17680","25.12.02.04","4","Do Estabelecimento (arts. 12 a 15 da Lei Estadual nº 6.374/1989)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12097","24.06.01.04","4","Do Estabelecimento (arts. 24 a 28 do RICMS-RR)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11983","09.03.01.12","4","Do Estabelecimento (arts. 45 a 47 da Lei Estadual nº 7.000/2001)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","13298","17.03.02.03","4","Do Fato Gerador (art. 13 da Lei Estadual nº 18.573/2015)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11782","03.02.02","3","Do Fato Gerador (art. 2º da Lei Estadual nº 5.900/1996)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14186","14.08.02","3","Do Fato Gerador (art. 3º do RITCD-MG)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","1916","17.01.03","3","Do Fato Gerador (art. 5º da Lei Estadual nº 11.580/1996)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11962","09.05.03","3","Do Fato Gerador (art. 6º da Lei Estadual nº 10.011/2013)"
